member_id,branch_code,prefix,name,surname,birthday,registration_date,approval_date,career,income,address,village_no,village,subdistrict,district,province,postal_code
455678,4,นางสาว,กัญญารัตน์,มีชัย,1999-03-03,2024-02-14,2024-02-18,ประชาสัมพันธ์,"27,000",55/5,2,รักชาติ,ศรีราชา,ศรีราชา,ชลบุรี,20110
566789,5,นาย,อาทิตย์,ดวงดี,1960-10-10,2024-03-22,2024-03-27,ผู้รับบำนาญ,"18,000",300,12,เกษตรกร,แม่ริม,แม่ริม,เชียงใหม่,50180
677890,1,นาง,เพ็ญศรี,ทองคำ,1972-11-11,2024-04-01,2024-04-05,แม่ค้าออนไลน์,"40,000",44,4,รุ่งเรือง,หนองแค,หนองแค,สระบุรี,18190
788901,2,นาย,ปรีชา,สุวรรณ,1983-06-25,2024-05-08,2024-05-13,ทนายความ,"65,000",7/7,6,ยุติธรรม,บางใหญ่,บางใหญ่,นนทบุรี,11140
899012,3,นางสาว,ศิริพร,แสงจันทร์,1997-09-09,2024-06-19,2024-06-24,นักออกแบบ,"38,000",9,8,ฟ้าใส,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,77110
900123,4,นาย,บรรจบ,รักเมือง,1968-12-30,2024-07-07,2024-07-12,ข้าราชการ,"48,000",80,1,ป่าไม้,ดอยสุเทพ,เมืองเชียงใหม่,เชียงใหม่,50200
111234,5,นาง,วิภาดา,พึ่งตน,1992-02-02,2024-08-28,2024-09-01,พยาบาล,"42,000",111,3,สุขภาพ,หนองจอก,หนองจอก,กรุงเทพมหานคร,10530
222345,1,นาย,ธนากร,เกียรติยศ,1981-04-19,2024-09-10,2024-09-15,ผู้จัดการ,"90,000",200,5,เศรษฐี,คลองหลวง,คลองหลวง,ปทุมธานี,12120
333456,2,นางสาว,ปาริชาต,งามยิ่ง,1996-07-07,2024-10-13,2024-10-18,เลขานุการ,"26,000",30/2,2,งามตา,สามพราน,สามพราน,นครปฐม,73110
444567,3,นาย,สุริยา,แสงอาทิตย์,1974-12-12,2024-11-25,2024-11-30,นักธุรกิจ,"150,000",40,10,รุ่งอรุณ,อ่าวลึก,อ่าวลึก,กระบี่,81110
555678,4,นาง,นงนุช,ศรีสุข,1986-05-05,2024-12-01,2024-12-06,แม่ครัว,"22,000",50,7,โอชา,เมืองปราจีน,เมืองปราจีนบุรี,ปราจีนบุรี,25000
666789,5,นาย,อำนาจ,ยิ่งใหญ่,1963-08-18,2025-01-05,2025-01-10,นักการเมือง,"180,000",60,9,ประชา,บางปะอิน,บางปะอิน,พระนครศรีอยุธยา,13160
777890,1,นางสาว,จันทร์เพ็ญ,ดาวลอย,1991-03-14,2025-02-18,2025-02-23,นักดนตรี,"30,000",70,11,สายลม,พัทยา,บางละมุง,ชลบุรี,20150
888901,2,นาย,โชคชัย,ทรัพย์สมบูรณ์,1984-10-29,2025-03-01,2025-03-06,วิศวกรไฟฟ้า,"60,000",80,1,ไฟฟ้า,บางแค,บางแค,กรุงเทพมหานคร,10160
999012,3,นาง,รัตนา,แสงเพชร,1977-01-01,2025-04-10,2025-04-15,นักวิจัย,"75,000",90,5,ปัญญา,กระทุ่มแบน,กระทุ่มแบน,สมุทรสาคร,74110
101123,4,นาย,ปกรณ์,ธรรมดี,1994-06-06,2025-05-22,2025-05-27,ครีเอทีฟ,"40,000",100,3,ไอเดีย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,10230
212234,5,นางสาว,ลลนา,สดใส,1999-11-29,2025-06-01,2025-06-05,นักเรียน/นักศึกษา,"15,000",12,2,อนาคต,เมืองพะเยา,เมืองพะเยา,พะเยา,56000
323345,1,นาย,ยุทธนา,กล้าหาญ,1969-07-17,2025-07-15,2025-07-20,ตำรวจ,"50,000",13,4,พิทักษ์,สัตหีบ,สัตหีบ,ชลบุรี,20180
434456,2,นาง,ดารณี,สวยงาม,1982-02-28,2025-08-01,2025-08-06,ช่างเสริมสวย,"23,000",14/1,6,เสน่ห์,หาดใหญ่,หาดใหญ่,สงขลา,90110
545567,3,นาย,เอกราช,อิสระ,1976-09-04,2025-09-09,2025-09-14,นักเขียน,"32,000",15,8,ศิลปะ,บางเลน,บางเลน,นครปฐม,73130
656678,4,นางสาว,อัมพร,บุญส่ง,1990-12-25,2025-10-20,2025-10-25,บุคลากรทางการแพทย์,"48,000",16,10,เมตตา,ปากช่อง,ปากช่อง,นครราชสีมา,30130
767789,5,นาย,ไชโย,เปี่ยมสุข,1966-03-08,2025-11-01,2025-11-06,เจ้าหน้าที่รัฐ,"55,000",17,1,ร่มเย็น,ท่าม่วง,ท่าม่วง,กาญจนบุรี,71110
878890,1,นาง,สมศรี,มีทรัพย์,1987-07-03,2025-12-12,2025-12-17,แม่บ้าน,"10,000",18/8,3,โชคดี,สามเสนใน,พญาไท,กรุงเทพมหานคร,10400
989901,2,นาย,เพชร,เจิดจรัส,1995-01-01,2026-01-01,2026-01-05,อัญมณี,"60,000",19,5,มณีรัตน์,เมืองจันทบุรี,เมืองจันทบุรี,จันทบุรี,22000
102030,3,นางสาว,แพรวพราว,เพชรบุรี,1993-04-15,2026-02-04,2026-02-09,พนักงานต้อนรับ,"25,000",20,7,ยินดี,เพชรบุรี,เมืองเพชรบุรี,เพชรบุรี,76000
203040,4,นาย,ก้องภพ,สมจริง,1980-11-24,2026-03-17,2026-03-22,สถาปนิก,"72,000",21/21,9,สร้างสรรค์,บางพลี,บางพลี,สมุทรปราการ,10540
304050,5,นาง,มัทนา,ลอยฟ้า,1973-06-16,2026-04-01,2026-04-05,นักบิน,"110,000",22,2,นภา,ปากน้ำ,เมืองระนอง,ระนอง,85000
405060,1,นาย,เรวัต,คงทน,1998-09-09,2026-05-13,2026-05-18,ทหาร,"35,000",23,4,กล้าแกร่ง,เมืองราชบุรี,เมืองราชบุรี,ราชบุรี,70000
506070,2,นางสาว,เมทินี,สายฝน,1989-10-10,2026-06-25,2026-06-30,นักพยากรณ์อากาศ,"38,000",24,6,เมฆา,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240
607080,3,นาย,ธันวา,หนาวเย็น,1962-12-20,2026-07-07,2026-07-12,นักสะสม,"5,000",25,8,โบราณ,เมืองกำแพงเพชร,เมืองกำแพงเพชร,กำแพงเพชร,62000
708090,4,นาง,มณี,รัตนะ,1981-03-23,2026-08-18,2026-08-23,ครูสอนพิเศษ,"27,000",26/1,10,วิชาการ,เมืองพิษณุโลก,เมืองพิษณุโลก,พิษณุโลก,65000
809010,5,นาย,วีระชัย,ชาญสมร,1975-04-04,2026-09-01,2026-09-05,นักมวย,"45,000",27,12,พละกำลัง,หลังสวน,หลังสวน,ชุมพร,86150
910120,1,นางสาว,อังคณา,ใจบริสุทธิ์,1997-08-08,2026-10-10,2026-10-15,อาสาสมัคร,"10,000",28,1,จิตอาสา,เมืองเลย,เมืองเลย,เลย,42000
113040,2,นาย,ธีรเดช,ยอดเยี่ยม,1983-05-17,2026-11-20,2026-11-25,นักกีฬา,"80,000",29,3,แชมป์เปี้ยน,เมืองสุพรรณบุรี,เมืองสุพรรณบุรี,สุพรรณบุรี,72000
214050,3,นาง,รัศมี,ทองแดง,1971-02-14,2026-12-01,2026-12-06,เกษตรกร,"15,000",30/30,5,ไร่นา,นาดูน,นาดูน,มหาสารคาม,44180
315060,4,นาย,กรกฎ,เมษา,1996-01-26,2027-01-15,2027-01-20,นักการตลาด,"52,000",31,7,โซเชียล,บางบัวทอง,บางบัวทอง,นนทบุรี,11110
416070,5,นางสาว,ศจี,สุธรรมา,1988-03-03,2027-02-28,2027-03-05,นักโบราณคดี,"40,000",32,9,ประวัติศาสตร์,เมืองอยุธยา,เมืองอยุธยา,พระนครศรีอยุธยา,13000
517080,1,นาย,อนุภาพ,ศิษย์เก่า,1964-11-11,2027-04-10,2027-04-15,อาจารย์,"60,000",33/3,11,วิชาการ,เมืองอุดรธานี,เมืองอุดรธานี,อุดรธานี,41000
618090,2,นาง,บัวลอย,ลอยฟ้า,1979-05-01,2027-05-21,2027-05-26,ทำขนม,"28,000",34,2,อร่อย,เมืองสมุทรสงคราม,เมืองสมุทรสงคราม,สมุทรสงคราม,75000
719010,3,นาย,เอกชัย,สุขสันต์,1994-07-07,2027-06-07,2027-06-12,นักกิจกรรม,"22,000",35,4,สนุกสนาน,เมืองสุโขทัย,เมืองสุโขทัย,สุโขทัย,64000
820120,4,นางสาว,วิไล,ไพศาล,1986-09-19,2027-07-19,2027-07-24,นักธุรกิจส่วนตัว,"95,000",36,6,มั่งคั่ง,เมืองนครปฐม,เมืองนครปฐม,นครปฐม,73000
921230,5,นาย,กมล,ชัยชนะ,1978-02-28,2027-08-30,2027-09-04,โค้ชฟุตบอล,"40,000",37,8,กีฬา,เมืองบุรีรัมย์,เมืองบุรีรัมย์,บุรีรัมย์,31000
132340,1,นาง,ลัดดา,วัลย์,1991-03-01,2027-10-10,2027-10-15,พนักงานโรงแรม,"33,000",38/8,10,พักผ่อน,เมืองระยอง,เมืองระยอง,ระยอง,21000
233450,2,นาย,ศักดิ์ชัย,เจริญ,1984-12-12,2027-11-22,2027-11-27,นักลงทุน,"150,000",39,1,การเงิน,สีลม,บางรัก,กรุงเทพมหานคร,10500
344560,3,นางสาว,อรุณรัตน์,เพ็ญ,1995-04-20,2027-12-01,2027-12-06,บรรณาธิการ,"38,000",40,3,หนังสือ,สามเสนใน,พญาไท,กรุงเทพมหานคร,10400
455670,4,นาย,จักรวาล,ไกลโพ้น,1970-06-06,2028-01-05,2028-01-10,นักดาราศาสตร์,"70,000",41,5,อวกาศ,เมืองสระบุรี,เมืองสระบุรี,สระบุรี,18000
566780,5,นาง,วิภาพร,อ่อนโยน,1982-08-18,2028-02-15,2028-02-20,นักจิตวิทยา,"55,000",42,7,เยียวยา,เมืองราชบุรี,เมืองราชบุรี,ราชบุรี,70000
677890,1,นาย,เดชา,ฟ้าใส,1993-10-10,2028-03-27,2028-04-01,ช่างซ่อมบำรุง,"24,000",43,9,ซ่อมแซม,เมืองลพบุรี,เมืองลพบุรี,ลพบุรี,15000
788900,2,นางสาว,อัมรา,แสงทอง,1987-11-29,2028-05-01,2028-05-06,มัคคุเทศก์,"30,000",44/4,11,ท่องเที่ยว,เมืองสุราษฎร์ธานี,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
899010,3,นาย,บุญส่ง,ถึงที่,1961-01-01,2028-06-12,2028-06-17,พนักงานขับรถ,"18,000",45,2,เดินทาง,เมืองนครศรีธรรมราช,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000
900120,4,นาง,มณีรัตน์,เพชรพลอย,1976-03-03,2028-07-25,2028-07-30,นักธุรกิจอัญมณี,"100,000",46,4,เจียระไน,บางรัก,บางรัก,กรุงเทพมหานคร,10500
111230,5,นาย,พรชัย,มีลาภ,1990-05-05,2028-08-08,2028-08-13,ผู้ประกอบการ,"85,000",47,6,ร่ำรวย,เมืองอุบลราชธานี,เมืองอุบลราชธานี,อุบลราชธานี,34000
