member_id,branch_no,gender,first_name,last_name,birthday,registration_date,approval_date,career,income,house_no,village_no,road,sub_area,district_area,province,postal_code
500013,1,นาง,ฮาซัน,พรมบุตร,1993-08-24,2018-05-22,2018-05-30,กราฟิกดีไซน์เนอร์,106787,365/50,10,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500014,1,นาย,รุ่งนภา,ดีเลิศ,1974-04-13,2015-01-24,2015-02-23,วิศวกรซอฟต์แวร์,32674,366/1,5,เลียบชายหาด,หนองปรือ,บางละมุง,ชลบุรี,20150
500015,4,นาย,มูฮัมหมัด,ลาเตะ,1967-08-20,2008-11-10,2008-12-02,อาจารย์มหาวิทยาลัย,105604,88/99,10,สตูลธานี,พิมาน,เมืองสตูล,สตูล,91000
500016,4,นางสาว,กฤติน,ทรงวุฒิ,1990-07-05,2011-03-14,2011-03-21,มัณฑนากร,33684,220/99,8,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500017,2,นาง,นุรดิน,เอกอนันต์,1996-11-25,2024-04-02,2024-04-07,กราฟิกดีไซน์เนอร์,65815,20/86,10,เลียบชายหาด,หนองปรือ,บางละมุง,ชลบุรี,20150
500018,1,นาย,อิทธิพล,แสงสว่าง,1981-01-02,2002-06-09,2002-06-27,เจ้าของร้านคาเฟ่,74937,537/51,17,กาญจนวณิชย์,คอหงส์,หาดใหญ่,สงขลา,90110
500019,5,นางสาว,ชญานิศ,ดีเลิศ,1993-01-11,2008-02-21,2008-03-19,มัณฑนากร,117843,270/36,7,สตูลธานี,พิมาน,เมืองสตูล,สตูล,91000
500020,5,นางสาว,กมลเนตร,ยูโซะ,1979-05-15,2024-01-27,2024-02-05,เจ้าของฟาร์มออร์แกนิก,105106,736/6,2,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500021,2,นาย,ฟารีดา,รุ่งเรืองกิจ,1996-06-08,2022-12-19,2023-01-15,นักบัญชีภาษี,214294,344/17,7,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500022,1,นาง,ซาฟียะห์,หะยีสาและ,2001-03-16,2019-08-18,2019-08-22,นักการตลาดดิจิทัล,61950,603/21,5,เจริญประดิษฐ์,รูสะมิแล,เมืองปัตตานี,ปัตตานี,94000
500023,3,นาย,ธรรศ,นิมิตรมงคล,1986-01-06,2004-04-24,2004-04-26,วิศวกรซอฟต์แวร์,160690,250/33,4,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500024,5,นาย,ญาณิศา,ทรงวุฒิ,1981-04-08,2017-01-17,2017-02-09,ผู้จัดการโรงแรม,237401,42/41,19,โพศรี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000
500025,2,นาง,มาเรียม,พึ่งบุญ,1967-08-08,2015-11-08,2015-12-08,วิศวกรซอฟต์แวร์,230715,151/87,10,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500026,5,นางสาว,อัสมา,ยูโซะ,2000-04-08,2008-12-18,2009-01-02,ครู,175001,418/16,18,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500027,5,นางสาว,ขจรศักดิ์,สุวรรณดี,1991-08-03,2019-08-18,2019-09-02,ช่างภาพมืออาชีพ,68122,755/38,18,โชตนา,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,50200
500028,5,นางสาว,อามีน,อิสลามดี,1994-02-17,2011-07-30,2011-08-16,เจ้าของฟาร์มออร์แกนิก,143840,423/26,9,สุรนารี,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,30000
500029,1,นาย,เพียงขวัญ,ใจเมตตา,1967-11-19,2014-10-05,2014-10-06,นักการตลาดดิจิทัล,165610,574/85,5,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500030,2,นางสาว,รพีพงศ์,หะยีมาหะ,1974-04-01,2019-09-25,2019-09-27,แพทย์ศัลยกรรม,226008,447/10,15,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500031,4,นาย,นพรัตน์,กาญจนพงศ์,1969-06-12,2002-11-18,2002-11-27,แพทย์ศัลยกรรม,273049,615/1,2,สุรนารี,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,30000
500032,4,นาย,กนกวรรณ,มหาดำรงค์,1981-09-28,2003-01-10,2003-01-12,ที่ปรึกษาการเงิน,85362,984/46,19,กาญจนวณิชย์,คอหงส์,หาดใหญ่,สงขลา,90110
500033,5,นาง,อามีร,นรินทร์เดช,1996-09-06,2022-02-14,2022-02-27,วิศวกรซอฟต์แวร์,77031,328/75,8,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500034,4,นาง,ปิยะมาศ,อิทธิราษฎร์,2001-06-24,2005-01-20,2005-02-15,ครู,219824,14/22,12,เจริญประดิษฐ์,รูสะมิแล,เมืองปัตตานี,ปัตตานี,94000
500035,5,นาย,ไซนับ,ฉัตรวรดล,1973-12-06,2008-03-20,2008-03-24,เจ้าของร้านคาเฟ่,179111,722/18,19,สุรนารี,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,30000
500036,3,นาย,ตระกูล,โต๊ะกู,1976-04-05,2004-01-03,2004-01-11,กราฟิกดีไซน์เนอร์,62814,14/70,19,โพศรี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000
500037,1,นาย,ขจรศักดิ์,วงษ์สุวรรณ,1975-11-20,2017-07-02,2017-07-20,อาจารย์มหาวิทยาลัย,219722,774/23,4,โชตนา,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,50200
500038,5,นาง,เฉลิมพล,ปัญญาดี,2003-01-21,2022-04-26,2022-05-09,วิศวกรซอฟต์แวร์,115786,231/28,20,สิโรรส,สะเตง,เมืองยะลา,ยะลา,95000
500039,5,นางสาว,สุนิสา,รุ่งเรืองกิจ,1989-08-04,2000-05-25,2000-06-18,ยูทูบเบอร์,47259,678/72,16,สิงหวัฒน์,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000
500040,4,นางสาว,จินตนา,รัตนวิจิตร,1989-02-05,2011-10-10,2011-11-06,ที่ปรึกษาการเงิน,134437,841/88,1,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500041,1,นางสาว,ฟารีส,ดอเลาะ,1984-09-16,2002-07-26,2002-08-03,แพทย์ศัลยกรรม,57795,230/24,18,สิโรรส,สะเตง,เมืองยะลา,ยะลา,95000
500042,4,นาย,ภานุพงศ์,วรโชติ,2003-02-01,2024-10-04,2024-10-31,ครู,21677,103/95,14,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500043,2,นางสาว,อามีน,นิมิตรมงคล,1977-02-22,2000-07-04,2000-07-23,นักบัญชีภาษี,24995,724/94,15,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500044,5,นาย,ภานุพงศ์,วรานันท์,1996-05-16,2004-04-11,2004-04-14,มัณฑนากร,108066,110/20,19,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500045,5,นาง,อนันตยา,อิสมาแอล,1980-01-03,2008-10-26,2008-11-09,เจ้าของร้านคาเฟ่,46735,647/58,11,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500046,1,นาง,มูฮัมหมัด,มหาดำรงค์,1967-07-24,2015-01-12,2015-01-21,ครู,92425,525/77,17,สิงหวัฒน์,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000
500047,2,นาย,ซูไบดะห์,พงษ์พาณิชย์,1983-04-15,2002-08-23,2002-09-18,นักลงทุนอสังหาฯ,75037,563/88,18,สุรนารี,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,30000
500048,4,นางสาว,ซุลกิฟลี,ศุภโชค,1985-10-11,2009-12-06,2009-12-20,นักวิเคราะห์ข้อมูล,87386,798/95,4,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500049,4,นาย,ซาฟียะห์,อุดมโชค,1978-02-28,2010-11-05,2010-12-03,เจ้าของร้านคาเฟ่,108291,998/49,10,โชตนา,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,50200
500050,4,นาง,เมธา,เอกอนันต์,1979-06-27,2002-08-25,2002-09-04,นักลงทุนอสังหาฯ,54728,132/34,13,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500051,2,นาย,อับดุลเลาะห์,บารมีกุล,1972-07-13,2006-02-19,2006-02-26,ที่ปรึกษาการเงิน,223190,196/19,7,สตูลธานี,พิมาน,เมืองสตูล,สตูล,91000
500052,3,นาย,ภานุพงศ์,บินซาเล็ม,2002-07-24,2022-08-08,2022-08-29,ยูทูบเบอร์,94418,585/98,14,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500053,1,นาง,อนันตยา,บือราเฮง,1980-10-21,2011-01-20,2011-01-26,เจ้าของร้านคาเฟ่,199410,501/30,10,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500054,4,นาง,รุสดี,นรินทร์เดช,1991-01-13,2021-01-12,2021-02-09,นักลงทุนอสังหาฯ,116923,828/35,17,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500055,1,นางสาว,อาหมัด,ศิริวัฒน์,1976-09-07,2008-12-15,2008-12-21,แพทย์ศัลยกรรม,107618,222/92,5,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500056,5,นาง,วรเมธ,ปัญญาดี,1990-02-26,2018-03-10,2018-03-15,เจ้าของร้านคาเฟ่,86665,893/99,7,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500057,4,นางสาว,นุรฮายาตี,ยูโซะ,1974-09-08,2000-02-25,2000-03-07,นักวิจัยชีวภาพ,270134,682/99,5,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500058,4,นาง,อุบลวรรณ,ใจเมตตา,1966-06-07,2022-02-03,2022-02-06,พยาบาลวิชาชีพ,70434,342/14,9,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500059,5,นางสาว,อัสมา,ศักดิ์ศรี,1995-07-10,2016-03-07,2016-03-16,นักวิจัยชีวภาพ,201696,647/44,8,ระแงะมรรคา,บางนาค,เมืองนราธิวาส,นราธิวาส,96000
500060,5,นางสาว,รอยฮาน,นิเซ็ง,1996-05-01,2025-11-01,2025-11-26,นักวิจัยชีวภาพ,179697,760/94,11,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500061,3,นางสาว,วรวิทย์,มะยูโซะ,1994-03-19,2019-05-27,2019-06-18,พยาบาลวิชาชีพ,224961,588/44,13,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500062,3,นางสาว,จารุวัฒน์,พงษ์พาณิชย์,2003-02-27,2008-05-25,2008-05-27,นักลงทุนอสังหาฯ,154816,344/40,15,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500063,1,นางสาว,ฮามีดะห์,สาระสิทธิ์,1982-12-12,2009-03-04,2009-03-23,ผู้จัดการโรงแรม,250574,180/89,7,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500064,2,นาย,ดนัย,กาญจนพงศ์,1990-10-27,2007-07-20,2007-07-25,อาจารย์มหาวิทยาลัย,35158,891/10,11,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500065,2,นาย,นุรดิน,เลิศพิทักษ์,1988-02-24,2011-06-04,2011-06-27,แพทย์ศัลยกรรม,250556,426/12,13,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500066,4,นาย,ฮานาน,ปัญญาวงศ์,1969-03-26,2014-02-21,2014-03-16,วิศวกรซอฟต์แวร์,214343,847/12,13,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500067,1,นาย,อรทัย,แสงเพชร,1983-05-26,2003-03-01,2003-03-15,อาจารย์มหาวิทยาลัย,75991,862/37,7,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500068,2,นาย,อามีร,บุญนำพา,1965-07-05,2017-06-14,2017-06-28,ที่ปรึกษาการเงิน,43577,192/17,4,สตูลธานี,พิมาน,เมืองสตูล,สตูล,91000
500069,5,นาง,รอกียะห์,จารุกล้า,1972-06-02,2003-07-07,2003-07-18,แพทย์ศัลยกรรม,49703,546/55,12,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500070,4,นางสาว,ไซนับ,ยูโซะ,2001-11-19,2007-06-15,2007-06-29,นักบัญชีภาษี,246769,638/97,7,ระแงะมรรคา,บางนาค,เมืองนราธิวาส,นราธิวาส,96000
500071,4,นางสาว,ศศิธร,ศานติธรรม,1975-06-12,2011-04-20,2011-05-15,วิศวกรซอฟต์แวร์,114117,330/62,4,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500072,5,นางสาว,ชญานิศ,ดีเลิศ,1997-11-15,2020-05-16,2020-05-29,แพทย์ศัลยกรรม,56336,838/58,12,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500073,2,นาง,พัทธนันท์,ปัญญาดี,1991-09-02,2022-05-03,2022-05-23,เจ้าของฟาร์มออร์แกนิก,45132,802/27,10,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500074,4,นางสาว,ไตรภพ,ต่วนมูซอ,1979-04-13,2013-11-25,2013-12-05,นักวิเคราะห์ข้อมูล,93716,73/86,11,สิงหวัฒน์,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000
500075,3,นางสาว,อามีน,โต๊ะกู,1994-05-14,2015-08-26,2015-09-13,กราฟิกดีไซน์เนอร์,226301,951/63,11,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500076,1,นาง,รอยฮาน,ลาเตะ,1986-08-23,2010-03-06,2010-03-07,วิศวกรซอฟต์แวร์,198717,383/59,18,สตูลธานี,พิมาน,เมืองสตูล,สตูล,91000
500077,3,นาง,รพีพงศ์,ศักดิ์ศรี,1966-09-21,2023-12-01,2023-12-04,นักวิเคราะห์ข้อมูล,241076,978/69,15,กาญจนวณิชย์,คอหงส์,หาดใหญ่,สงขลา,90110
500078,3,นาย,มณีนุช,อิทธิราษฎร์,1997-07-14,2014-11-18,2014-11-21,เจ้าของฟาร์มออร์แกนิก,27183,176/31,8,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500079,3,นางสาว,ยุทธนา,แสงสว่าง,1968-05-27,2005-11-15,2005-12-14,กราฟิกดีไซน์เนอร์,194614,126/14,11,กาญจนวณิชย์,คอหงส์,หาดใหญ่,สงขลา,90110
500080,4,นางสาว,รอกียะห์,เอื้ออารี,1970-03-18,2011-06-01,2011-06-02,เชฟอาหารฝรั่งเศส,61108,37/79,13,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500081,4,นางสาว,รณชัย,สิริถาวร,1968-11-27,2016-11-22,2016-12-05,ทนายความธุรกิจ,273286,278/87,11,กาญจนวณิชย์,คอหงส์,หาดใหญ่,สงขลา,90110
500082,2,นาย,วรเมธ,ศักดิ์ศรี,1973-02-01,2004-02-05,2004-02-07,ยูทูบเบอร์,261008,198/12,15,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500083,4,นาง,ปิยะมาศ,ปัญญาวงศ์,1973-06-24,2011-05-19,2011-06-05,อาจารย์มหาวิทยาลัย,228987,470/71,10,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500084,5,นาย,ขจรศักดิ์,สุนทรชัย,1980-09-28,2017-03-02,2017-03-03,อาจารย์มหาวิทยาลัย,228282,876/84,4,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500085,2,นาย,ยูซุฟ,ปูเต๊ะ,1971-04-26,2005-09-03,2005-09-23,นักลงทุนอสังหาฯ,253478,999/79,19,ศรีนครินทร์,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270
500086,5,นางสาว,ซุลกิฟลี,ศรัทธาธรรม,2000-11-07,2016-01-27,2016-02-02,พยาบาลวิชาชีพ,51606,786/88,13,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500087,5,นาย,กฤติน,แก้ววิจิตร,1967-03-17,2019-04-08,2019-04-13,นักการตลาดดิจิทัล,261878,218/80,15,ศรีวิชัย,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
500088,2,นาง,ชินวุฒิ,ศรีสะอาด,1975-06-11,2003-01-25,2003-02-03,นักบินพาณิชย์,169003,917/33,10,สิโรรส,สะเตง,เมืองยะลา,ยะลา,95000
500089,2,นาย,นาเดีย,ปัญญาวงศ์,1984-01-26,2022-08-09,2022-09-04,อาจารย์มหาวิทยาลัย,142192,25/46,11,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500090,4,นาย,เฉลิมพล,จารุกล้า,1982-12-24,2008-04-17,2008-04-26,แพทย์ศัลยกรรม,66919,790/30,8,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500091,5,นาย,ฟารีส,แสงเพชร,1972-12-20,2022-08-15,2022-08-17,ผู้จัดการโรงแรม,150274,549/71,7,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500092,1,นาง,อรวรรณ,รุ่งเรืองกิจ,1999-11-04,2007-03-21,2007-04-06,นักลงทุนอสังหาฯ,267197,389/80,11,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500093,3,นางสาว,วรวิทย์,พรมบุตร,1989-02-21,2003-11-01,2003-11-13,ผู้จัดการโรงแรม,241616,781/50,15,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500094,4,นางสาว,อรวรรณ,อารีย์สกุล,1994-06-10,2023-12-30,2024-01-25,นักบินพาณิชย์,19596,745/20,20,โพศรี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000
500095,4,นาง,เอกลักษณ์,วิเศษสุวรรณ,1996-09-14,2005-01-14,2005-01-19,เชฟอาหารฝรั่งเศส,89547,417/96,20,อุปราช,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,34000
500096,3,นาย,ฮานาน,มานะชัย,1976-09-18,2016-02-17,2016-03-05,นักการตลาดดิจิทัล,44764,23/83,10,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500097,1,นางสาว,ปิยะมาศ,สว่างแจ้ง,1976-03-24,2008-04-12,2008-04-15,อาจารย์มหาวิทยาลัย,91459,776/25,1,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500098,1,นางสาว,เฉลิมพล,ดอเลาะ,1990-03-15,2003-05-18,2003-06-07,กราฟิกดีไซน์เนอร์,75971,120/28,6,เลียบชายหาด,หนองปรือ,บางละมุง,ชลบุรี,20150
500099,2,นาย,ณรงค์,ยูโซะ,1981-09-07,2017-04-26,2017-05-26,ที่ปรึกษาการเงิน,18926,606/78,20,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500100,4,นางสาว,ณรงค์,เอื้ออารี,1993-01-20,2018-07-25,2018-08-13,ครู,114770,434/52,12,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500101,1,นางสาว,ชินวุฒิ,ชัยชนะ,1993-09-18,2025-01-21,2025-02-17,นักบัญชีภาษี,20326,611/55,3,อุปราช,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,34000
500102,4,นางสาว,อามีน,หัตถกิจ,1984-01-03,2017-07-05,2017-07-08,เจ้าของร้านคาเฟ่,270561,571/66,11,พัฒนาการ,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10310
500103,2,นางสาว,ซัลมา,เอื้ออารี,1980-03-24,2013-10-10,2013-10-23,นักการตลาดดิจิทัล,205999,832/50,4,เจริญประดิษฐ์,รูสะมิแล,เมืองปัตตานี,ปัตตานี,94000
500104,1,นาง,ชญานิศ,เกรียงไกรกล้า,1989-03-03,2014-03-11,2014-03-25,กราฟิกดีไซน์เนอร์,106255,693/93,10,ระแงะมรรคา,บางนาค,เมืองนราธิวาส,นราธิวาส,96000
500105,1,นางสาว,ภัทรา,อุดมโชค,1978-03-12,2000-12-12,2000-12-16,วิศวกรซอฟต์แวร์,132225,24/2,10,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500106,1,นาย,อนันตยา,สุริยา,1971-09-14,2006-08-18,2006-09-02,ยูทูบเบอร์,64832,25/62,18,สิงหวัฒน์,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000
500107,3,นาย,นุรฮายาตี,วงษ์สุวรรณ,1984-08-23,2001-12-08,2001-12-29,นักบัญชีภาษี,190948,371/30,18,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500108,1,นาย,ขจรศักดิ์,ฐานวัฒน์,1983-09-19,2005-03-07,2005-03-24,อาจารย์มหาวิทยาลัย,230188,292/4,3,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000
500109,3,นางสาว,อามีน,อัครเดชา,1974-04-20,2002-05-24,2002-06-19,ช่างภาพมืออาชีพ,130043,21/37,13,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500110,4,นางสาว,ปิยะมาศ,ทรงวุฒิ,1976-08-07,2021-10-14,2021-11-03,ทนายความธุรกิจ,255222,341/53,16,โพศรี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000
500111,2,นาย,จารุวัฒน์,ฐานวัฒน์,1996-05-25,2018-02-02,2018-02-03,นักบัญชีภาษี,149331,391/86,5,สุขุมวิท,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110
500112,3,นาย,ณิชา,ศานติธรรม,1998-01-11,2002-02-18,2002-03-04,นักวิเคราะห์ข้อมูล,62909,985/33,13,โพศรี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000
500113,4,นางสาว,พิมพิมล,เจ๊ะมะ,2000-09-16,2022-10-12,2022-10-28,นักวิจัยชีวภาพ,169488,625/23,6,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500114,1,นาง,อัสมา,จารุกล้า,2000-11-03,2009-05-30,2009-06-06,พยาบาลวิชาชีพ,256353,352/53,16,แจ้งวัฒนะ,คลองเกลือ,ปากเกร็ด,นนทบุรี,11120
500115,5,นางสาว,สุนิสา,สะมะแอ,1977-04-17,2014-10-20,2014-11-12,นักบินพาณิชย์,36342,217/87,9,อุปราช,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,34000
500116,2,นาง,ซูไบดะห์,เลิศล้ำสกุล,1990-10-17,2009-10-13,2009-11-07,มัณฑนากร,63421,267/90,4,เจริญประดิษฐ์,รูสะมิแล,เมืองปัตตานี,ปัตตานี,94000
500117,1,นางสาว,ไฟซอล,โชติช่วง,1972-09-27,2003-04-24,2003-05-18,วิศวกรซอฟต์แวร์,236701,538/26,3,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
500118,1,นางสาว,อัสมา,อัครเดชา,2002-02-26,2019-09-20,2019-10-05,นักบัญชีภาษี,249055,207/89,2,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,21000
500119,1,นาย,ศุภชัย,อิสลามดี,2003-08-20,2019-06-01,2019-06-14,เชฟอาหารฝรั่งเศส,264807,737/30,8,สิงหวัฒน์,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000
500120,3,นาย,ธรรศ,ฐานวัฒน์,1984-10-01,2017-05-26,2017-05-29,ทนายความธุรกิจ,179126,543/30,6,รัชดาภิเษก,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310
500121,3,นาย,ชลธร,เลิศพิทักษ์,1989-02-07,2014-12-01,2014-12-11,เชฟอาหารฝรั่งเศส,167824,943/40,3,ดีบุก,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000
